Date,Mag.,SN Position,Type
2014 02 07,15.9,08 47 21.16 +73 13 13.7,IIP
2014 03 03,15.4,11 19 20.95 +72 48 57.3,Ia
2014 03 12,15.7,11 57 44.44 -10 10 15.7,I-p
2014 03 09,16.6,15 04 40.09 +12 37 54.0,Ia
2014 03 09,16.4,13 48 05.99 +07 23 16.4,IIn
2014 03 07,15.7,11 45 03.58 +19 58 25.4,Ia
2014 03 06,15.2,01 44 07.99 -61 07 07.4,Ia
2014 03 02,18.3,07 23 33.39 +54 26 30.2,IIn
2014 03 01,16.8,12 10 40.22 -34 03 40.7,Ia
2014 01 25,17.5,11 54 42.29 +44 01 18.1,Ia
2014 02 21,18.4,11 49 06.20 -09 43 33.7,II
2014 02 23,18.9,11 44 52.16 +19 27 17.8,II
2014 02 22,18.7,14 36 04.98 +02 20 34.2,IIn
2014 02 21,18.8,10 40 24.98 +53 57 58.6,II
2014 02 08,16.8,09 30 12.30 +55 51 13.5,Ia-p
2014 01 29,19.2,08 18 50.20 +57 06 02.9,Ia
2014 02 02,17.8,10 54 04.00 -45 48 43.6,IIn
2014 02 02,16.0,10 06 47.53 -47 41 28.5,IIP
2014 01 27,18.5,02 30 58.91 -44 25 22.3,IIP
2014 01 18,17.0,15 15 17.21 +75 29 09.5,Ia
2014 01 26,17.2,12 18 48.68 +14 24 43.5,Ic
2014 01 22,15.4,08 51 08.15 +71 50 33.9,Ia
2014 01 21,10.5,09 55 42.14 +69 40 26.0,Ia
2014 01 17,17.0,05 42 19.80 -25 32 39.9,Ia
2014 01 14,16.8,03 37 01.48 +32 05 01.7,Ia
2014 01 14,15.6,10 54 34.13 +54 17 56.9,IIn
2014 01 11,16.8,18 30 31.79 +67 59 29.7,II
2014 01 07,16.4,12 03 31.24 +02 02 35.7,Ia
2014 01 01,17.0,12 10 36.76 +18 49 35.4,Ia
2014 01 05,15.5,22 37 05.60 +34 24 31.9,Ib
2014 01 02,17.0,13 04 17.70 -10 20 01.2,IIP
2014 01 01,16.4,13 16 59.36 -16 37 57.0,IIP
2013 08 30,22.9,02 42 32.82 -01 21 30.1,I
2013 12 31,17.6,01 35 33.28 -57 57 50.6,Ic-p
2013 12 30,17.1,10 32 55.43 -01 55 13.6,Ia
2013 11 18,17.8,10 50 59.27 -23 39 29.4,Ic
2013 12 28,17.4,11 28 07.86 -13 11 33.6,IIP
2013 12 31,18.9,10 55 50.95 -09 51 42.4,II
2013 12 25,15.8,01 58 53.69 +05 35 25.4,Ia
2013 12 26,16.2,14 59 00.85 +49 48 47.6,Ia
2013 12 13,17.1,22 24 13.21 +36 05 00.8,Ia
2013 12 12,18.0,23 13 59.72 +24 53 38.9,Ia
2013 11 01,17.4,08 06 59.02 +46 08 11.6,Ib/c
2013 12 13,15.2,13 48 59.17 -30 17 26.5,Ia
2013 11 26,17.0,17 50 48.49 +47 11 50.9,Ia
2013 12 13,16.7,11 50 00.16 +21 20 16.6,Ia
2013 12 04,15.9,03 02 10.85 +15 55 38.8,Ia
2013 12 12,14.0,09 12 06.29 -15 25 46.0,II
2013 11 11,16.2,03 14 24.73 +46 10 49.0,Ia
2013 12 11,15.9,11 29 04.37 +17 14 09.5,Ia
2013 12 10,16.9,12 09 55.69 +29 53 51.3,Ia
2013 12 07,17.0,06 25 10.07 -37 20 41.3,II
2013 12 09,16.5,12 53 06.27 +36 49 00.1,IIP
2013 12 02,19.5,03 54 21.40 +17 35 04.8,Ib/c
2013 10 30,18.0,18 03 24.59 +70 13 30.6,II-p
2013 10 07,17.1,01 50 46.32 +33 06 35.6,Ia?
2013 11 06,17.0,06 15 49.85 +66 50 19.4,IIn
2013 12 02,17.7,17 46 27.70 +30 42 13.2,Ia
2013 12 06,18.0,03 42 16.88 -04 43 18.5,Ia
2013 11 29,17.8,01 02 23.27 +20 33 21.2,IIP
2013 11 28,16.5,13 22 48.38 +33 30 20.7,Ia
2013 12 04,17.2,03 09 57.31 +19 12 49.2,Ia
2013 12 05,15.5,01 46 38.27 +04 13 24.4,IIP
2013 11 16,17.6,07 21 31.65 +55 45 32.1,Ia
2013 11 29,17.3,09 31 08.87 +46 23 05.4,Ia
2013 11 28,17.3,01 46 27.90 -58 40 23.8,Ia-p
2013 03 25,15.1,08 17 53.46 +23 28 10.5,Ia
2013 10 21,21.6,03 26 55.51 -28 46 45.7,Ia
2013 10 21,20.4,03 27 44.64 -28 29 13.5,Ia
2013 11 16,15.3,14 18 28.50 +36 30 24.4,Ia
2013 11 20,17.5,11 34 21.16 +15 39 33.1,IIP
2013 05 09,16.7,11 31 00.48 +20 28 10.3,Ib
2013 10 28,16.8,18 42 13.03 -49 44 37.0,IIb
2013 11 10,17.5,02 41 10.00 -21 01 29.2,II
2013 11 13,17.9,06 23 47.27 -65 19 48.4,Ia
2013 08 08,18.3,22 02 21.84 -18 55 00.4,Ia
2013 11 05,17.9,09 21 08.25 +49 35 33.8,IIP
2013 11 06,18.3,09 05 26.46 +56 24 12.4,Ia
2013 11 08,16.8,10 34 48.46 +21 39 41.9,Ic
2013 11 09,16.9,03 49 05.64 -03 03 28.3,IIP
2013 11 07,16.7,08 07 11.88 -28 03 26.3,IIn
2013 10 31,16.7,08 58 52.52 +41 35 00.1,Ia
