Date,Mag.,SN Position,Type
2006 12 21,20.5,01 10 45.36 +00 34 04.5,Ia
2006 12 21,22.6,01 10 26.78 -00 34 07.5,Ia
2006 12 21,21.6,01 08 54.23 +00 17 56.5,Ia
2006 12 19,23.5,02 35 34.22 -08 34 22.0,Ia
2006 12 19,22.2,02 29 56.54 -07 59 50.8,Ia
2006 12 19,23.4,02 10 47.93 -04 24 57.0,Ia
2006 12 19,22.5,02 10 18.69 -03 32 26.3,Ia
2006 12 17,23.2,02 28 29.54 -07 53 28.5,Ia
2006 12 17,22.1,02 10 00.70 -04 06 00.9,Ic
2006 12 17,23.4,02 09 14.04 -04 37 12.2,Ia
2006 12 17,23.2,02 07 34.39 -04 00 04.2,Ia
2006 12 17,23.2,02 05 36.02 -05 08 46.3,Ia
2006 12 15,21.2,01 09 17.30 +00 09 11.3,Ia
2006 12 15,21.5,01 09 17.28 -00 40 28.0,Ia
2006 12 15,21.3,01 07 52.64 +00 27 55.3,Ia
2006 12 13,22.4,01 09 23.28 +00 42 42.3,Ia
2006 11 28,20.8,23 29 13.13 -08 47 58.1,II
2006 11 28,20.5,23 29 00.97 -08 54 04.2,II
2006 11 28,22.2,02 04 14.17 -04 40 18.7,Ia
2006 12 12,16.7,12 46 15.82 +11 25 56.3,IIn
2006 12 28,15.8,08 11 42.99 +41 33 16.8,Ia
2006 12 24,15.1,01 58 15.76 +36 20 57.7,Ia
2006 11 23,22.3,03 08 01.96 +00 56 36.4,Ia
2006 11 19,22.3,03 45 15.49 -00 07 42.8,Ia
2006 11 19,22.0,03 29 50.42 +00 17 42.3,Ia
2006 11 16,22.6,23 42 52.46 -00 33 22.9,Ia?
2006 11 16,22.6,02 21 05.20 +00 49 42.2,Ia
2006 11 16,21.9,00 31 48.32 -00 30 50.2,Ia
2006 11 14,22.7,01 05 00.20 -00 22 28.7,Ia
2006 11 09,22.0,22 25 28.25 +00 15 55.0,Ia
2006 12 18,17.7,12 46 56.88 +36 32 01.8,Ia
2006 12 18,18.3,11 58 40.97 +27 27 37.6,II
2006 12 17,17.6,14 20 27.46 +35 11 42.7,IIb
2006 12 12,17.4,00 03 35.02 +23 11 46.2,Ia
2006 11 24,23.5,02 07 11.62 -03 57 10.9,Ia
2006 11 24,23.5,01 10 55.17 -00 27 52.3,Ia
2006 11 18,21.5,02 33 49.15 -08 59 15.7,Ia
2006 11 16,23.0,02 06 18.25 -04 51 33.1,Ia
2006 11 14,22.6,02 33 29.48 -08 30 11.9,Ia
2006 11 14,22.3,02 32 15.95 -08 48 34.3,Ia
2006 11 14,21.6,02 10 33.80 -04 04 03.8,Ia
2006 11 14,23.0,02 10 22.41 -03 33 09.3,Ia
2006 11 14,22.6,02 09 51.32 -03 43 32.4,Ia
2006 11 14,23.2,02 09 11.06 -03 44 42.0,Ia
2006 11 14,21.6,02 08 13.04 -03 46 21.9,Ic
2006 11 14,22.5,02 08 11.65 -03 51 40.1,Ia
2006 11 14,22.7,01 14 48.05 +00 06 39.3,Ia
2006 11 14,21.9,01 14 24.15 +01 02 39.4,Ia
2006 11 12,21.8,02 10 10.22 -04 44 12.5,Ia
2006 11 12,20.8,02 06 30.31 -04 05 30.6,Ia
2006 11 12,21.0,02 05 14.94 -04 48 51.7,IIp
2006 11 26,19.7,03 46 06.78 +00 23 23.1,Ia
2006 11 17,19.4,07 39 51.10 +34 57 33.5,II
2006 11 17,19.0,23 43 10.29 -20 40 53.7,IIn
2006 11 14,19.4,03 38 09.57 +02 26 05.6,Ia
2006 11 13,19.5,02 00 00.71 +24 56 15.0,Ia
2006 11 11,20.0,02 29 50.20 +23 05 33.5,II
2006 11 11,19.6,01 31 19.84 -13 56 09.6,II
2006 11 11,16.5,00 33 09.13 -13 27 16.2,Ia
2006 11 10,19.7,02 25 28.59 +07 17 02.5,Ia
2006 11 09,19.7,08 43 22.86 -03 34 16.2,II
2006 11 09,18.3,04 09 05.52 +34 38 15.6,II
2006 11 09,19.8,03 51 16.85 +26 50 05.4,Ia
2006 11 09,18.9,23 16 04.36 -08 11 02.2,Ia
2006 11 07,19.8,01 26 35.76 +07 48 43.5,Ia
2006 11 07,19.8,23 02 12.91 -15 01 21.4,Ia
2006 11 06,16.1,07 16 24.51 +27 37 25.5,II
2006 11 06,19.0,04 41 02.16 -12 26 02.5,II
2006 11 06,19.6,02 15 57.44 -21 54 19.4,Ia
2006 11 05,19.4,04 18 52.46 +08 54 42.2,II
2006 11 01,19.0,23 32 31.98 +08 54 17.3,Ia
2006 11 01,19.2,01 53 17.76 +09 23 20.8,Ia
2006 10 26,19.7,01 41 39.06 +06 19 20.9,Ia
2006 10 26,18.9,23 19 14.02 +04 59 40.0,Ia
2006 10 24,19.8,00 22 18.26 +27 53 19.9,IIn
2006 10 24,17.7,23 35 25.09 +07 06 46.4,Ia
2006 10 23,19.8,02 22 24.92 +05 22 01.3,Ia
2006 10 23,20.2,00 25 21.71 +17 51 48.3,Ia
2006 10 23,19.2,23 45 36.12 -12 11 55.0,Ia
2006 10 22,19.6,01 02 43.23 +27 41 54.6,Ia
2006 10 21,17.9,03 08 46.88 +18 56 26.0,Ia
2006 10 19,18.8,01 48 32.35 +18 12 19.6,Ia
2006 10 19,18.9,21 37 01.47 -17 40 09.9,Ia
2006 10 11,18.9,03 40 02.72 -04 34 18.7,IIn
2006 10 10,19.8,00 33 27.32 +11 53 14.8,Ia
2006 11 30,17.9,08 38 01.15 -09 49 06.1,II
2006 11 30,17.0,05 19 50.43 -20 58 06.4,IIn
2006 11 25,17.1,14 42 30.65 +28 43 25.9,IIb
2006 11 29,18.9,08 00 08.37 +56 22 07.7,Ia?
2006 11 29,17.9,07 47 44.54 +48 13 18.4,II
2006 11 23,22.6,02 42 24.07 -00 47 47.5,I
2006 11 23,22.8,01 50 09.11 +00 25 13.7,Ia
2006 11 22,21.4,22 25 32.38 +00 09 15.1,Ic?
2006 11 20,21.4,20 11 05.61 -00 19 11.8,Ia
2006 11 20,22.2,01 50 19.56 +00 53 05.6,Ia
2006 11 19,22.4,21 47 53.02 +00 42 24.6,Ia
2006 11 18,22.0,21 54 18.09 +00 26 49.2,Ia
2006 11 17,22.3,03 51 57.24 -00 23 47.8,II?
2006 11 16,22.8,23 12 19.98 -00 32 03.9,Ia
2006 11 16,22.6,23 08 05.14 -00 10 33.9,Ia
2006 11 16,22.6,20 51 19.84 -00 57 08.4,Ia
2006 11 16,22.3,03 28 14.65 -00 12 03.5,Ia
2006 11 16,23.0,03 01 09.73 -00 01 34.5,Ia
2006 11 16,22.7,02 55 08.24 +00 14 05.2,Ia
2006 11 15,21.3,22 41 42.05 -00 08 12.9,Ia
2006 11 14,22.3,23 33 17.10 +00 57 40.0,Ia
2006 11 14,22.6,22 46 26.96 +01 09 02.9,Ia
2006 11 14,21.4,03 38 29.47 -00 40 32.1,Ia
2006 11 14,21.5,02 42 53.82 +00 53 34.3,II
2006 11 14,22.1,02 27 16.17 -00 23 36.5,Ia
2006 11 14,22.2,01 43 45.30 -01 06 42.9,Ia
2006 11 14,21.7,01 34 14.69 -00 24 13.1,Ia
2006 11 14,22.2,01 25 07.05 -01 13 08.2,Ia
2006 11 14,22.6,00 48 58.47 +00 28 37.0,Ia
2006 11 13,21.4,20 23 15.17 -00 50 54.6,Ia
2006 11 13,21.6,03 49 02.85 -00 31 58.0,Ia
2006 11 11,21.7,21 54 50.28 +00 56 01.2,Ia
2006 11 11,21.9,21 54 26.92 +00 35 18.7,Ia
2006 11 09,21.4,23 04 59.85 -00 52 24.1,Ia
2006 11 09,22.2,22 37 18.35 +00 44 17.3,Ia
2006 11 09,22.0,22 03 16.60 -00 36 24.6,Ia
2006 11 09,21.3,21 34 33.48 -00 53 09.0,Ia
2006 11 09,22.1,03 27 20.71 +01 05 22.8,Ia
2006 11 09,22.5,01 41 45.13 -00 11 20.9,Ia
2006 11 09,21.0,00 23 09.17 -00 03 13.1,Ia
2006 11 08,21.1,23 31 46.12 -00 40 05.0,Ia
2006 10 28,22.5,01 44 10.58 -00 09 21.2,II
2006 10 23,21.9,00 46 43.55 -01 01 58.5,Ia
2006 10 22,22.0,02 32 23.95 -00 42 48.9,Ia?
2006 10 20,22.3,22 08 53.56 +00 53 50.4,Ib?
2006 10 12,22.4,20 53 58.30 -00 21 36.2,Ia
2006 11 26,15.3,19 18 24.21 -60 30 09.9,?
2006 11 26,17.7,07 35 37.44 +66 24 50.0,Ia
2006 11 24,14.9,12 21 55.30 +04 29 16.7,II
2006 11 22,16.0,11 37 13.10 +15 26 07.3,Ia
2006 11 22,17.4,02 15 04.84 -20 45 58.2,Ia
2006 11 21,17.2,02 55 01.01 +16 00 34.8,Ia
2006 11 18,16.3,11 48 03.47 +30 21 24.0,Ia
2006 11 17,15.8,11 44 00.07 +19 58 38.3,Ia
2006 11 17,21.6,21 21 31.86 +00 59 35.9,Ia?
2006 11 11,22.1,21 59 47.23 -00 43 59.6,Ia
2006 11 11,20.7,21 55 58.49 -01 04 12.7,Ia
2006 11 08,21.5,01 22 18.88 +01 00 38.2,Ia
2006 11 01,21.6,23 28 07.19 +00 51 22.9,Ia
2006 11 01,21.8,01 07 28.34 -00 16 09.7,Ia
2006 10 31,22.2,01 08 49.30 -00 59 22.4,Ia
2006 10 31,22.3,00 35 53.05 +00 15 30.3,Ia
2006 10 29,22.2,23 41 12.48 -01 06 20.9,Ia
2006 10 29,21.8,20 12 04.27 +00 34 14.2,Ia
2006 10 29,21.5,00 32 25.86 -01 03 14.4,Ia
2006 10 28,22.0,23 21 27.00 +01 07 56.9,Ia
2006 10 23,22.1,02 07 54.31 -00 32 07.4,Ia
2006 10 17,22.3,23 02 48.35 -00 52 35.1,Ia
2006 11 13,19.9,01 51 48.11 +00 15 48.3,Ia
2006 11 11,20.7,21 23 42.94 -00 50 36.5,Ia
2006 11 08,19.8,00 56 29.21 -01 13 36.1,Ia
2006 11 08,19.8,00 39 17.31 +00 05 02.1,IIp
2006 11 01,22.1,03 33 30.63 -00 40 38.2,Ib/c
2006 10 31,21.3,02 02 55.95 -00 32 01.9,Ia
2006 10 28,22.1,00 12 29.86 -00 58 38.2,Ia
2006 10 21,21.9,22 43 19.00 +00 15 46.5,Ia
2006 10 20,22.0,02 53 58.91 +00 59 13.1,Ia
2006 10 17,20.6,21 33 32.22 +00 47 05.4,II
2006 10 26,15.8,05 56 23.51 +85 54 38.8,Ia
2006 11 13,19.7,02 04 24.02 +09 40 38.2,II
2006 11 10,21.0,03 06 39.48 +00 03 50.5,Ia
2006 10 29,21.4,22 08 21.44 -01 08 55.7,Ia
2006 10 29,22.4,01 45 41.02 -01 03 15.8,Ia
2006 10 28,22.5,23 12 39.38 +00 16 01.0,Ia
2006 10 28,21.8,02 01 44.71 -01 01 56.7,Ia
2006 10 27,21.7,02 56 16.61 -00 24 38.8,Ia
2006 10 22,22.6,01 24 28.23 +00 04 27.8,Ia
2006 10 21,22.9,20 54 52.41 -00 11 41.4,Ia
2006 10 21,23.0,02 40 50.57 +00 39 31.6,Ia
2006 10 21,22.4,00 22 07.27 -00 05 44.3,Ia
2006 10 17,22.9,00 01 29.96 +00 16 33.5,Ia
2006 11 08,21.1,01 13 37.84 +00 25 25.9,Ia
2006 10 28,22.1,22 44 59.06 -01 00 23.8,Ia
2006 10 27,21.5,00 55 22.50 -00 23 19.7,Ia
2006 10 22,22.8,02 26 53.40 -00 19 40.1,Ia
2006 10 21,22.0,02 11 19.07 -00 59 53.7,Ia
2006 10 17,22.5,21 10 34.81 -00 07 23.5,Ia
2006 11 08,15.3,12 43 40.74 +16 23 14.1,II
2006 10 24,21.2,20 03 27.33 +00 34 12.8,Ia?
2006 10 21,22.1,03 25 08.47 -00 02 26.1,Ia?
2006 10 20,21.9,02 30 55.46 +00 56 46.7,Ia
2006 10 17,21.2,22 24 00.68 +00 49 16.9,Ia?
2006 10 16,22.0,00 59 31.12 -00 15 23.5,Ia
2006 11 06,17.3,20 38 20.52 -52 06 55.9,II
2006 11 05,15.6,03 22 42.84 -37 12 28.5,Ia
2006 10 22,12.7,08 06 12.39 -27 33 45.4,Ia
2006 11 03,16.9,17 12 00.20 +46 33 20.8,Ia
2006 11 01,18.2,00 46 38.55 +36 19 57.8,Ia
2006 10 23,23.0,01 07 48.39 -00 06 35.5,Ia
2006 10 21,22.9,01 08 48.66 +00 17 22.4,Ia
2006 10 21,22.9,01 08 43.98 -00 31 36.6,Ia
2006 10 19,22.4,02 30 16.91 -08 40 47.3,Ia
2006 10 19,23.1,02 09 03.04 -03 28 27.8,Ia
2006 10 19,23.4,02 05 55.04 -04 00 53.2,Ia
2006 10 17,22.0,01 15 13.39 +00 23 57.3,Ia
2006 10 15,22.0,02 31 37.75 -08 06 40.2,Ia
2006 10 15,20.9,02 30 37.32 -07 57 04.4,Ia
2006 10 15,22.5,01 14 47.19 +00 10 13.3,Ia
2006 10 15,22.2,01 11 31.49 +00 24 34.2,Ia
2006 10 13,22.3,02 32 02.60 -09 07 21.2,Ia
2006 10 13,21.6,02 30 54.30 -08 57 42.1,Ia
2006 10 13,22.8,01 15 11.65 -00 28 03.1,Ia
2006 09 24,22.4,02 27 40.74 -08 10 08.2,II
2006 09 16,21.9,02 34 42.38 -08 30 39.9,Ia
2006 09 16,22.3,02 30 10.38 -08 06 54.0,Ia
2006 09 16,21.5,02 08 33.67 -03 57 12.9,Ia
2006 10 28,17.0,11 32 03.30 +36 42 03.6,Ib/c
2006 10 30,17.6,09 15 17.63 -25 36 00.3,Ia
2006 10 11,19.1,02 16 59.89 +30 41 57.4,Ib
2006 10 17,21.5,01 48 40.56 -00 34 35.7,I-p
2006 10 16,21.9,02 38 52.96 +00 05 24.3,Ia
2006 10 13,22.2,02 16 35.88 -00 09 18.5,Ia
2006 10 13,21.8,00 27 05.68 -00 07 33.5,Ia
2006 10 12,22.9,21 34 19.18 +00 35 20.8,Ia
2006 10 11,21.3,23 15 19.91 -00 33 45.3,Ia
2006 10 11,22.1,22 20 12.80 +00 24 35.8,Ia
2006 10 11,22.5,22 07 28.14 -00 54 12.3,Ia
2006 10 03,23.1,03 32 04.60 -00 06 00.6,Ia
2006 09 27,23.5,00 10 43.62 +00 12 04.7,Ia
2006 10 28,19.4,07 05 33.33 +33 50 01.3,Ib
2006 10 24,19.4,23 26 51.60 +09 19 57.6,II
2006 10 25,18.8,02 46 57.64 +39 00 40.0,II
2006 10 26,18.0,04 38 29.49 +44 02 01.5,Ia
2006 10 26,18.0,05 00 41.99 +62 15 19.0,Ia
2006 10 19,16.0,00 35 27.81 +02 55 50.7,Ib
2006 10 21,20.2,22 44 24.45 -00 09 53.9,Ib/c
2006 10 20,20.9,03 19 28.19 -00 19 04.9,Ia
2006 10 17,21.2,22 42 48.34 -00 54 06.3,Ia
2006 10 17,21.4,21 47 23.40 -00 29 40.8,Ia
2006 10 17,21.5,21 18 40.40 -01 01 27.4,Ia
2006 10 16,21.1,03 42 14.67 +00 28 41.8,Ia
2006 10 16,21.2,02 14 57.98 +00 36 09.0,Ia
2006 10 16,19.5,00 03 06.66 +00 54 49.6,II
2006 10 13,22.5,23 38 13.60 +01 14 56.8,Ia
2006 10 12,21.5,21 35 50.32 -01 03 26.8,Ia
2006 10 11,22.8,22 30 04.66 +00 00 13.2,Ia
2006 10 11,22.2,00 19 19.68 +01 05 26.6,Ia
2006 10 02,22.8,21 15 36.58 -00 19 17.1,Ia
2006 10 01,23.3,02 11 11.66 +00 41 45.0,Ia?
2006 10 01,22.3,01 28 59.95 +00 46 11.8,Ia?
2006 09 30,21.0,20 58 05.22 +00 54 01.7,II
2006 09 29,22.0,02 20 37.93 +00 20 54.2,Ia
2006 09 28,21.3,00 31 33.28 -00 08 08.9,Ia
2006 09 28,22.8,00 27 39.86 +00 38 58.2,Ia
2006 09 27,20.9,03 24 32.81 +01 01 20.5,Ia?
2006 09 20,23.2,21 06 34.18 -00 38 52.6,Ia
2006 09 11,20.6,01 49 11.85 -00 36 18.9,II
2006 09 11,20.2,01 04 16.98 +00 46 08.9,II?
2006 10 21,17.4,03 41 50.48 +08 09 25.0,Ia
2006 10 19,18.7,05 52 37.38 +66 49 00.5,Ia
2006 10 13,21.2,01 07 50.00 +00 49 41.5,Ia
2006 10 12,21.0,22 30 10.61 -00 24 28.2,Ia
2006 10 12,20.2,20 19 10.21 -01 03 52.2,Ia
2006 10 11,21.9,02 18 26.68 +00 13 36.0,Ia
2006 10 11,21.9,00 11 24.80 +00 42 09.8,Ia
2006 10 04,21.7,01 02 56.34 +00 10 59.2,Ia
2006 10 03,22.8,03 52 14.06 +00 17 31.5,Ib?
2006 10 03,22.5,02 23 22.30 +00 49 08.4,Ia?
2006 10 03,23.3,01 30 32.21 +00 13 11.2,Ia
2006 10 02,21.9,23 24 39.01 -00 43 06.0,Ia?
2006 10 02,21.9,21 58 48.06 +00 11 51.8,Ia
2006 10 01,22.6,20 55 20.06 -00 05 34.0,Ia
2006 10 01,22.5,03 39 47.15 +00 59 34.2,Ia
2006 10 01,22.7,03 37 06.50 +00 00 33.7,Ia
2006 09 30,21.7,20 56 56.22 -00 16 44.6,Ia
2006 09 30,21.1,01 23 14.72 -00 19 46.7,Ib
2006 09 30,23.1,00 30 39.18 +00 08 29.7,Ia
2006 09 29,22.8,22 54 12.27 +01 03 02.3,Ia
2006 09 29,19.8,20 32 04.67 -00 34 28.3,IIn
2006 09 27,22.7,21 52 57.70 +00 15 13.7,Ia
2006 09 27,21.4,20 59 34.81 +01 13 23.7,Ia
2006 09 20,21.7,20 32 46.79 +00 55 37.5,Ia
2006 09 19,22.6,00 06 45.75 -00 02 12.4,Ia
2006 09 17,23.0,22 48 26.64 -00 26 07.0,Ia
2006 09 15,22.4,22 34 54.57 +00 00 07.3,Ia
2006 10 15,17.8,01 50 53.28 +33 05 53.2,Ia-p
2006 10 12,17.2,08 02 07.43 +00 48 31.5,IIb
2006 10 09,13.8,09 17 20.78 +41 54 32.7,Ib/c
2006 10 11,17.4,00 00 37.55 +28 23 02.9,IIL?
2006 09 30,21.3,22 26 51.91 +00 30 21.8,Ia?
2006 09 30,21.1,21 16 17.20 +00 33 34.2,Ia
2006 09 20,22.5,22 01 52.82 +01 02 42.1,Ia
2006 09 16,22.6,23 59 14.03 -00 18 39.7,II
2006 10 03,20.4,23 21 19.48 +00 15 35.1,II
2006 10 05,15.9,11 48 12.35 +54 59 14.6,IIb
2006 10 01,17.9,06 36 41.13 +37 36 05.0,II
2006 10 01,17.6,20 43 51.38 +12 30 30.9,IIP
2006 09 18,17.0,05 17 34.37 -23 46 54.2,Ia
2006 09 23,16.9,23 04 35.68 +07 36 21.5,Ib/c
2006 09 23,19.0,21 39 33.75 +10 29 05.5,Ia
2006 09 21,18.6,23 48 31.68 -02 08 57.3,Ib/c
2006 09 19,19.5,00 06 54.90 -01 38 02.3,Ia
2006 09 14,18.9,22 44 15.03 -23 27 21.3,II
2006 09 14,18.3,22 07 58.11 -23 05 49.9,II
2006 09 13,19.6,00 40 38.15 -03 06 48.1,Ia
2006 09 13,19.2,01 26 06.33 -05 43 57.0,Ia
2006 09 13,19.9,00 11 09.61 +29 54 30.3,II
2006 09 12,19.9,00 32 21.98 +05 53 58.4,II
2006 09 12,19.3,00 09 44.32 -06 17 21.8,II
2006 09 11,19.2,04 10 21.09 +13 28 24.4,Ia
2006 09 11,19.5,22 14 51.78 -10 03 33.8,Ia
2006 09 11,20.1,22 56 42.17 +03 31 33.5,Ia
2006 09 06,18.7,22 55 05.35 +21 06 02.3,Ia
2006 09 06,20.3,22 09 03.19 +17 50 28.9,II
2006 09 22,22.1,03 16 11.83 -00 36 03.4,Ia
2006 09 22,21.0,02 07 19.18 +01 15 07.5,Ia
2006 09 19,21.6,00 12 41.00 -00 32 07.7,II
2006 09 15,22.3,22 08 19.43 -01 11 47.0,Ia
2006 09 28,21.2,01 13 57.31 +00 22 18.0,Ia
2006 09 22,22.5,03 13 03.44 -00 28 17.9,Ia
2006 09 18,22.7,22 27 19.99 +01 01 51.4,Ia
2006 09 18,22.0,03 34 22.72 -01 07 23.5,Ia
2006 09 20,23.0,21 12 47.66 +00 54 58.8,Ia
2006 09 17,22.4,02 36 04.86 -00 59 39.0,Ia
2006 09 17,20.9,01 50 15.55 -00 53 14.1,Ia?
2006 09 16,22.4,23 39 47.15 +00 12 18.8,Ia?
2006 09 16,23.0,00 24 14.32 -00 14 53.7,Ia
2006 08 28,19.6,00 33 28.05 -00 19 12.9,II
2006 09 28,15.6,11 07 18.67 +76 41 49.8,Ia
2006 09 18,22.2,23 26 14.81 -00 22 56.1,Ia
2006 09 18,21.1,23 22 45.98 +00 31 58.4,Ia
2006 09 18,21.3,23 20 29.54 -01 09 28.2,Ia
2006 09 18,21.3,21 10 21.14 +00 55 57.5,Ia
2006 09 17,23.0,01 23 46.04 +00 49  0.0,Ia
2006 09 16,21.9,02 42 26.97 -00 47 38.9,Ia
2006 09 16,21.9,01 40 58.41 -00 43 40.3,Ia
2006 09 11,21.8,23 00 52.49 -00 58 52.1,Ia
2006 09 11,21.9,22 04 24.11 +00 41 28.4,Ia
2006 09 11,21.6,21 44 03.55 +00 43 34.6,Ia
2006 09 11,21.3,01 09 34.73 +00 42 14.9,Ia
2006 09 27,15.7,05 02 01.28 -21 07 55.1,Ia
2006 09 27,18.4,22 58 34.30 +15 10 25.8,Ia
2006 09 26,17.6,18 10 26.33 +30 59 44.4,Ia
2006 09 18,15.0,03 17 27.06 +41 24 19.5,IIn?
2006 09 16,21.2,02 48 14.08 -00 20 49.3,Ia
2006 09 11,21.7,01 57 53.50 -00 32 02.9,Ia
2006 09 11,21.0,01 48 36.37 +00 19 41.6,Ia
2006 08 27,21.1,00 40 38.96 -00 04 24.9,Ia
2006 09 18,18.5,00 56 17.30 -01 37 46.0,Ia
2006 09 22,17.0,11 56 08.50 +55 23 29.8,II
2006 09 21,18.8,22 32 22.67 +30 49 43.3,Ia
2006 09 17,20.2,01 45 12.54 +00 21 23.2,II?
2006 09 15,22.2,22 34 10.00 +00 03 17.9,Ia
2006 09 12,22.0,00 24 33.76 -00 16 44.7,Ia
2006 08 28,20.2,23 11 18.43 +00 30 16.6,Ia
2006 08 28,21.5,22 59 07.46 -00 37 38.5,Ia
2006 08 28,21.6,01 05 50.11 +00 08 41.3,Ia
2006 08 27,21.8,21 25 23.34 -01 02 01.2,Ia
2006 09 18,17.8,03 17 35.80 -01 41 30.2,Ia
2006 09 18,16.3,10 16 46.76 +73 26 26.4,Ib
2006 09 12,21.2,00 54 46.94 -00 15 03.1,Ia
2006 09 12,21.3,00 28 12.51 +00 07 04.8,Ia
2006 09 11,21.4,00 46 24.35 +00 00 12.5,Ia
2006 08 28,21.7,21 49 35.79 +00 00 03.8,Ia
2006 08 28,22.8,01 10 26.39 -01 04 04.8,IIP
2006 09 18,18.2,04 58 50.81 +06 58 28.6,II
2006 09 15,21.5,23 59 16.50 -01 15 01.3,Ia
2006 09 12,21.2,00 52 56.33 +00 26 52.3,I?
2006 09 12,21.5,00 16 41.35 -00 25 28.3,Ia
2006 09 11,19.8,23 26 40.19 -00 50 24.9,Ia
2006 09 11,21.6,22 46 16.15 +00 24 57.2,Ia
2006 09 11,20.4,01 47 10.34 -00 08 49.2,Ia
2006 09 11,20.4,01 21 37.88 +00 24 52.2,Ia?
2006 08 28,20.8,23 51 08.41 -00 44 46.9,Ia?
2006 08 28,21.3,00 31 50.06 -00 22 58.7,Ia
2006 08 27,20.0,21 09 59.00 +00 24 31.6,Ia
2006 08 27,21.9,20 50 30.21 +00 23 55.3,Ia?
2006 08 27,20.5,00 20 00.81 -00 37 29.9,IIP
2006 09 17,17.7,22 45 41.13 +73 09 47.8,IIn?
2006 09 16,18.2,02 32 38.89 +00 37 03.0,Ic
2006 09 15,20.6,23 00 05.98 +00 32 15.6,Ia
2006 09 15,20.2,22 10 10.26 +00 30 11.8,Ia
2006 09 11,20.3,22 11 27.71 +00 45 21.5,Ia
2006 09 11,21.3,22 01 01.33 +00 42 58.5,Ia
2006 09 11,20.3,02 47 08.67 +00 46 30.5,Ia
2006 08 28,22.1,22 19 50.26 +00 01 27.8,Ia
2006 08 28,20.4,01 49 34.91 -00 38 59.6,Ia
2006 08 28,19.1,00 38 20.04 -00 17 41.9,II
2006 08 28,20.7,00 26 35.64 -00 18 07.5,Ia
2006 08 27,21.0,20 52 09.16 -00 30 40.0,?
2006 08 27,19.4,20 37 53.25 +01 13 16.1,Ia
2006 09 11,20.4,21 34 46.61 +01 10 33.3,Ia
2006 08 27,21.1,23 35 51.51 -00 10 37.6,Ia
2006 08 27,20.8,21 35 30.74 -00 58 49.0,Ia
2006 08 27,20.3,21 33 49.26 -01 00 57.4,II
2006 08 27,20.5,21 07 03.73 +00 43 23.1,Ia
2006 08 27,20.1,20 38 43.86 -00 28 28.3,Ia
2006 08 27,20.1,20 20 02.17 -00 58 32.5,Ia
2006 09 12,16.6,21 30 59.26 +13 59 21.2,Ia
2006 09 03,17.4,20 02 51.15 +49 19 02.3,Ia
2006 09 03,16.1,00 42 45.82 -23 33 30.4,Ia
2006 09 01,18.0,03 42 24.48 +39 14 31.0,Ia
2006 08 26,19.5,00 21 37.54 -01 00 35.9,Ia
2006 08 26,18.7,21 28 37.13 +01 13 41.2,Ia
2006 08 30,17.8,00 41 24.88 +25 29 46.7,Ib/c
2006 08 26,18.2,04 33 21.94 -18 40 36.8,II
2006 08 26,15.8,23 10 05.06 +30 13 24.0,Ia
2006 08 25,17.5,02 25 44.30 +41 56 31.8,Ia-p
2006 08 25,18.2,22 47 38.50 +39 52 27.6,IIb
2006 08 25,19.2,22 05 09.23 +26 36 31.4,II
2006 08 23,16.4,00 38 59.77 -09 00 56.6,Ia
2006 08 21,18.5,01 56 37.15 +34 10 37.4,Ic
2006 08 20,18.2,02 50 11.95 +47 03 20.5,IIn
2006 08 20,18.3,02 32 53.57 +19 15 33.2,Ib/c
2006 08 18,15.6,02 04 19.51 -08 43 42.2,Ia
2006 08 18,17.6,01 59 35.40 +14 00 19.6,II
2006 08 18,17.7,15 03 50.64 +42 06 48.5,II
2006 08 04,16.7,23 38 12.46 -20 46 48.8,Ib
2006 07 22,17.5,01 13 41.10 -00 06 06.4,Ia
2006 07 25,18.8,22 39 37.91 +11 46 16.0,Ib?
2006 05 31,20.0,13 30 00.37 +13 24 43.1,?
2006 07 25,16.6,14 22 11.45 +13 55 14.2,Ia
2006 07 19,19.2,21 10 34.49 -21 34 42.7,II
2006 07 23,15.8,16 17 43.29 +34 57 55.1,Ia
2006 07 20,17.7,23 15 53.06 +05 07 50.2,Ia
2006 07 18,17.0,00 05 12.26 -11 29 23.6,II
2006 07 20,16.8,14 35 43.11 +08 17 55.8,Ia
2006 07 18,16.1,22 55 18.32 -33 55 17.5,II
2006 07 17,16.1,03 17 14.19 -32 34 31.8,Ia
2006 07 15,18.3,17 59 21.01 +58 32 36.8,II
2006 07 09,18.4,01 00 38.84 -07 58 49.3,II
2006 07 05,16.7,23 32 03.08 -27 43 31.8,Ia
2006 07 05,17.8,22 47 37.84 +39 52 46.8,Ib
2006 07 03,17.3,23 41 47.84 -03 40 08.4,Ia
2006 06 29,18.0,13 05 16.73 +25 57 27.8,II
2006 06 25,16.3,12 11 34.35 +57 44 26.3,Ib
2006 06 05,18.9,22 59 22.89 +53 44 09.8,IIb
2006 06 24,16.1,01 13 46.85 -31 44 30.2,Ia
2006 06 21,18.4,13 41 43.08 +40 52 36.8,Ia
2006 06 17,18.3,23 45 54.38 +12 03 59.0,Ic
2006 06 16,19.5,21 49 57.67 +32 01 58.7,IIn
2006 06 02,17.2,21 35 33.33 -19 01 46.5,II
2006 06 19,15.0,03 22 41.62 -37 12 13.0,Ia
2006 06 18,17.8,16 16 04.04 -22 37 16.7,IIn
